epoch, test_loss, acc, p, r, F1
0, 2.619610, 94.689, 70.742, 34.328, 46.225
1, 2.365876, 95.374, 72.794, 48.535, 58.239
2, 2.234222, 95.337, 63.619, 69.627, 66.488
3, 2.278115, 95.203, 78.985, 37.830, 51.158
4, 1.847701, 96.560, 74.127, 74.037, 74.082
5, 1.837054, 96.602, 79.419, 65.963, 72.068
6, 1.876035, 96.496, 69.638, 83.779, 76.057
7, 1.671319, 96.958, 79.381, 73.216, 76.174
8, 1.655841, 97.073, 77.021, 79.842, 78.406
9, 1.610488, 97.129, 77.933, 79.247, 78.584
10, 1.600760, 97.157, 83.683, 71.125, 76.895
11, 1.571012, 97.247, 82.973, 73.707, 78.066
12, 1.535586, 97.326, 79.218, 81.061, 80.129
13, 1.523853, 97.349, 81.571, 77.706, 79.592
14, 1.505852, 97.370, 82.746, 76.339, 79.414
15, 1.475116, 97.474, 82.276, 78.941, 80.574
16, 1.446317, 97.534, 83.407, 78.492, 80.875
17, 1.471107, 97.479, 83.960, 76.698, 80.165
18, 1.422067, 97.632, 82.152, 82.140, 82.146
19, 1.424197, 97.629, 81.119, 83.817, 82.446
20, 1.440458, 97.576, 81.845, 81.621, 81.732
21, 1.376614, 97.707, 83.992, 80.903, 82.419
22, 1.384038, 97.710, 81.541, 84.692, 83.087
23, 1.362324, 97.742, 85.139, 79.970, 82.474
24, 1.347755, 97.786, 83.925, 82.499, 83.206
25, 1.336752, 97.817, 84.373, 82.473, 83.412
26, 1.347037, 97.793, 84.407, 81.913, 83.141
27, 1.321210, 97.842, 84.959, 82.090, 83.500
28, 1.326881, 97.819, 85.741, 80.602, 83.092
29, 1.353836, 97.786, 86.524, 79.040, 82.613
30, 1.312836, 97.855, 85.002, 82.226, 83.591
31, 1.311952, 97.844, 84.799, 82.234, 83.497
32, 1.283167, 97.893, 85.219, 82.514, 83.845
33, 1.289316, 97.876, 84.698, 82.999, 83.840
34, 1.285085, 97.903, 84.877, 83.287, 84.074
35, 1.278071, 97.927, 85.509, 82.832, 84.149
36, 1.278983, 97.928, 86.485, 81.564, 83.953
37, 1.274235, 97.941, 84.885, 83.925, 84.403
38, 1.271373, 97.926, 84.215, 84.675, 84.444
39, 1.272477, 97.935, 85.756, 82.677, 84.188
40, 1.258392, 97.975, 85.140, 84.189, 84.662
41, 1.264772, 97.938, 84.950, 83.827, 84.385
42, 1.251577, 97.969, 85.116, 84.193, 84.652
43, 1.251791, 97.956, 86.478, 82.059, 84.211
44, 1.245597, 97.993, 85.178, 84.570, 84.873
45, 1.299127, 97.868, 88.673, 77.874, 82.923
46, 1.254970, 97.975, 84.269, 85.472, 84.867
47, 1.243907, 97.977, 87.892, 80.634, 84.107
48, 1.251048, 97.977, 84.467, 85.199, 84.831
49, 1.253901, 97.931, 84.652, 84.125, 84.388
